HomeTeam,AwayTeam,HTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,FTR,FTR,主场胜利=0 客场胜利=1 平局=2
Derby,Stoke,1,0,2,19,5,12,3,16,13,11,4,3,1,0,0,1.72,3.4,5,1.67,3.32,4.49,1,1,
Cardiff,Preston,0,1,0,14,11,4,6,14,14,5,6,0,2,0,0,2.4,3.4,2.9,2.27,3.19,2.8,0,0,
Colchester,Burnley,2,0,0,12,7,2,4,10,18,7,4,0,2,0,0,1.8,3.5,4.35,1.74,3.33,4.14,2,2,
Crystal Palace,Luton,0,1,0,16,8,10,3,10,12,6,2,1,1,0,1,1.8,3.5,4.5,1.74,3.31,4.14,0,0,
Hull,Birmingham,0,1,0,13,3,6,3,17,12,7,3,1,0,0,1,3.5,3.25,2,3.37,3.21,1.96,0,0,
Leicester,West Brom,2,1,1,13,16,5,13,26,11,8,4,0,1,0,0,2.65,3.25,2.5,2.57,3.16,2.42,2,2,
Norwich,Coventry,1,0,1,12,14,5,4,12,7,5,3,2,1,0,0,2,3.25,3.6,1.97,3.22,3.33,2,2,
QPR,Plymouth,1,0,1,11,6,3,3,14,21,3,8,2,2,0,0,2.4,3.2,2.8,2.35,3.15,2.66,2,2,
Sheffield Weds,Southend,0,2,1,12,10,4,6,9,11,4,9,1,2,0,0,1.9,3.25,3.6,1.9,3.23,3.52,0,0,
Southampton,Ipswich,0,1,0,11,6,6,2,8,14,3,4,1,1,0,0,1.66,3.5,5.5,1.61,3.43,4.87,0,0,
Sunderland,Derby,0,1,0,12,7,8,5,8,21,6,5,2,2,0,0,2.15,3.25,3.3,2.06,3.18,3.16,0,0,
Wolves,Leeds,2,0,0,17,9,10,5,15,14,7,10,3,2,0,0,1.72,3.5,4.75,1.68,3.39,4.4,0,0,
Stoke,Barnsley,1,0,1,10,4,5,3,12,25,6,1,2,4,0,0,1.66,3.4,5.5,1.65,3.37,4.7,1,1,
Birmingham,Leeds,0,1,0,12,7,4,3,15,8,7,2,1,0,0,0,1.55,3.8,6.5,1.51,3.52,5.86,0,0,
Luton,Norwich,2,1,1,9,6,5,4,7,9,5,6,0,1,0,0,2.2,3.25,3.2,2.14,3.18,2.99,1,1,
Derby,Colchester,0,3,0,16,6,2,1,16,14,5,1,2,1,0,0,1.72,3.5,5,1.68,3.31,4.74,0,0,
Barnsley,Norwich,1,1,3,14,8,11,4,15,13,7,5,3,2,0,0,2.25,3.25,3.15,2.2,3.18,2.89,1,1,
Burnley,Crystal Palace,2,1,1,10,7,6,3,10,8,6,2,2,2,0,0,2.4,3.2,2.75,2.36,3.13,2.67,2,2,
Coventry,Hull,0,2,0,12,7,3,5,15,18,5,3,0,3,0,0,1.9,3.25,4,1.86,3.22,3.73,0,0,
Ipswich,QPR,0,1,0,17,14,12,7,9,19,4,6,1,2,0,0,1.9,3.25,4,1.88,3.22,3.63,0,0,
Leeds,Sheffield Weds,1,0,2,19,8,13,3,9,19,15,6,1,3,0,1,2.3,3.25,3.35,2.19,3.19,2.9,1,1,
Luton,Wolves,0,2,1,4,12,3,7,11,10,5,5,4,1,0,0,2.8,3.25,2.4,2.68,3.15,2.34,1,1,
Plymouth,Stoke,0,1,0,11,14,7,6,15,11,7,2,2,2,0,0,2.3,3.25,2.87,2.25,3.16,2.79,2,2,
Southend,Leicester,1,0,1,13,9,8,5,15,14,5,3,2,2,1,0,2.5,3.25,2.95,2.38,3.14,2.68,2,2,
West Brom,Sunderland,1,0,1,11,8,5,4,5,12,8,4,1,1,1,0,2.1,3.25,3.4,2.07,3.17,3.15,1,1,
Birmingham,Cardiff,2,0,0,13,9,6,5,10,14,3,5,1,2,0,0,1.8,3.3,4.25,1.79,3.27,3.94,0,0,
Preston,Southampton,0,1,0,12,18,7,10,11,8,3,7,1,0,0,0,2.3,3.25,3.2,2.18,3.16,2.96,0,0,
Hull,Ipswich,1,1,2,18,14,7,7,14,16,8,3,1,1,0,0,2.25,3.2,3.1,2.15,3.15,2.99,1,1,
Norwich,Derby,2,0,0,13,13,7,5,4,14,1,3,1,1,0,0,2.85,3.25,2.35,2.76,3.17,2.27,1,1,
Sheffield Weds,Plymouth,0,1,0,14,7,4,4,6,7,8,12,2,0,0,0,2.25,3.25,3.35,2.11,3.17,3.09,2,2,
Birmingham,Derby,0,1,0,8,9,3,3,18,18,6,9,2,2,1,0,2.05,3.3,3.6,2,3.21,3.33,0,0,
Barnsley,Sunderland,2,0,0,10,15,3,10,17,23,2,9,1,1,0,0,3.7,3.25,1.9,3.56,3.2,1.9,1,1,
Cardiff,Norwich,0,1,0,12,8,7,3,10,13,4,2,2,2,0,0,1.8,3.4,4.35,1.75,3.24,4.24,0,0,
Colchester,Coventry,2,0,0,5,6,1,1,12,18,4,7,0,2,0,0,2.1,3.25,3.5,1.98,3.2,3.31,2,2,
Crystal Palace,Leicester,0,1,0,9,4,4,2,15,10,3,4,1,1,0,0,2.05,3.25,3.6,1.99,3.2,3.3,0,0,
Hull,Preston,0,1,0,11,3,8,1,12,11,5,2,0,2,0,0,2.75,3.25,2.4,2.66,3.15,2.34,0,0,
Ipswich,Southend,1,0,2,19,11,8,8,9,17,11,5,4,2,1,0,1.85,3.25,4,1.84,3.21,3.78,1,1,
Leeds,Luton,2,0,0,22,5,9,2,14,12,7,8,3,2,0,0,2.1,3.25,3.4,2.08,3.18,3.17,0,0,
QPR,Sheffield Weds,2,0,0,8,4,4,3,14,14,10,9,3,4,0,0,2.4,3.25,2.65,2.38,3.15,2.61,2,2,
Stoke,Southampton,2,1,1,9,8,4,6,17,13,6,2,3,3,0,0,2.4,3.25,2.7,2.35,3.15,2.64,0,0,
Wolves,West Brom,2,0,0,11,10,5,5,13,12,4,8,0,1,0,0,2.4,3.2,2.8,2.35,3.11,2.68,0,0,
Coventry,Wolves,2,1,1,19,6,12,3,7,10,6,2,0,3,0,1,2.5,3.25,2.62,2.47,3.15,2.53,0,0,
Derby,QPR,1,0,1,14,7,6,3,13,20,6,4,2,5,0,0,1.5,3.8,8,1.48,3.54,6.34,2,2,
Leicester,Leeds,2,1,1,8,9,3,5,8,13,8,3,1,3,0,0,1.95,3.4,4,1.84,3.25,3.74,2,2,
Luton,Hull,1,0,1,5,9,4,3,8,16,5,7,2,4,0,0,2.25,3.25,3.35,2.18,3.19,2.91,1,1,
Norwich,Birmingham,2,0,0,13,14,7,5,10,15,8,4,0,0,0,0,3,3.25,2.25,2.87,3.19,2.19,0,0,
Preston,Ipswich,0,1,0,8,13,3,9,16,8,5,6,5,3,0,0,1.66,3.6,5,1.62,3.42,4.78,0,0,
Sheffield Weds,Colchester,0,2,0,8,5,3,1,3,3,5,3,2,2,0,0,2,3.25,3.6,1.94,3.22,3.42,0,0,
Southampton,Cardiff,0,2,0,8,9,6,5,17,12,1,6,2,1,0,0,2,3.25,3.7,1.94,3.2,3.44,2,2,
Southend,Burnley,2,0,0,14,6,3,4,13,13,4,6,1,3,0,0,2.2,3.25,3.2,2.13,3.18,3.01,0,0,
Sunderland,Stoke,1,1,2,16,13,10,7,13,13,7,1,3,2,0,0,1.6,3.6,6,1.57,3.49,5.28,2,2,
Plymouth,Barnsley,2,2,2,16,10,9,7,20,16,12,2,2,4,0,0,1.83,3.5,4.5,1.77,3.32,4.04,1,1,
West Brom,Crystal Palace,1,1,2,25,5,16,3,7,11,5,1,1,0,1,0,1.65,3.4,5.5,1.62,3.36,4.94,1,1,
Southampton,Colchester,1,1,2,23,14,14,7,6,13,12,4,2,1,0,0,1.7,3.5,6,1.65,3.37,4.76,1,1,
Coventry,Barnsley,0,3,0,18,5,14,4,15,15,3,3,0,1,0,0,1.8,3.3,4.35,1.79,3.24,4,0,0,
Derby,Cardiff,2,1,1,6,13,4,8,21,6,3,6,4,0,0,0,1.9,3.25,3.75,1.88,3.22,3.64,0,0,
Leicester,QPR,2,0,0,13,6,9,2,10,23,4,3,2,4,0,0,1.83,3.4,4.35,1.8,3.28,3.91,1,1,
Luton,Ipswich,1,0,1,5,5,3,3,20,13,5,4,2,0,0,0,2.35,3.25,2.95,2.28,3.19,2.71,1,1,
Norwich,Stoke,0,1,0,12,9,6,3,14,14,3,5,0,2,0,1,2.4,3.2,2.8,2.32,3.17,2.69,0,0,
Plymouth,Crystal Palace,2,0,0,8,8,3,5,14,11,12,6,0,1,0,0,2.25,3.25,2.95,2.21,3.19,2.84,0,0,
Preston,Burnley,0,1,0,9,8,4,3,22,17,6,6,3,5,0,0,1.72,3.45,5.1,1.66,3.35,4.58,0,0,
Sheffield Weds,Wolves,2,1,1,11,9,6,5,8,9,2,7,2,2,1,0,2.8,3.25,2.37,2.7,3.19,2.29,2,2,
Southend,Leeds,0,1,0,12,12,6,7,11,10,6,8,1,3,0,0,2.25,3.4,3,2.19,3.22,2.85,2,2,
Sunderland,Hull,0,1,0,13,4,6,2,12,20,5,2,0,1,0,0,1.53,3.75,7.5,1.46,3.69,6.2,0,0,
West Brom,Birmingham,2,0,0,13,10,4,6,10,15,8,6,2,1,0,1,2.35,3.2,3.1,2.29,3.13,2.8,2,2,
Leeds,Preston,1,0,1,17,8,7,4,15,16,4,2,0,0,0,0,2.87,3.25,2.37,2.8,3.19,2.26,0,0,
Barnsley,Derby,1,0,1,12,9,8,4,14,14,3,3,2,0,0,0,3.15,3.3,2.1,3.05,3.2,2.09,1,1,
Burnley,Luton,2,0,0,9,8,4,4,12,18,4,4,0,0,0,0,1.9,3.3,4,1.88,3.23,3.62,2,2,
Cardiff,Sunderland,2,0,0,9,11,4,4,11,13,2,5,3,1,0,0,2.65,3.25,2.5,2.53,3.16,2.45,1,1,
Colchester,Norwich,2,0,0,11,14,8,4,4,14,1,6,0,3,0,0,2,3.25,3.7,1.94,3.21,3.44,0,0,
Crystal Palace,Sheffield Weds,2,0,0,12,11,8,10,8,14,5,2,1,1,0,0,2,3.25,3.6,1.92,3.22,3.47,1,1,
Hull,Southend,0,1,0,13,3,7,2,15,17,5,1,0,3,0,0,2,3.25,3.6,1.96,3.2,3.38,0,0,
Ipswich,Plymouth,0,2,0,13,12,10,8,10,9,6,5,1,0,0,1,2.1,3.25,3.4,2.06,3.18,3.16,0,0,
QPR,West Brom,2,0,0,9,13,4,8,23,15,4,3,3,1,0,0,2.9,3.25,2.3,2.77,3.2,2.24,1,1,
Stoke,Leicester,0,2,1,5,10,4,6,14,16,5,3,1,4,0,0,1.83,3.3,4.25,1.79,3.26,3.96,0,0,
Wolves,Southampton,1,0,3,11,9,5,6,9,7,10,3,1,0,0,0,2,3.25,3.4,1.97,3.22,3.34,1,1,
Birmingham,Coventry,0,1,0,16,9,10,0,13,14,7,8,0,2,0,0,1.66,3.5,5.5,1.61,3.4,4.87,0,0,
Burnley,Plymouth,0,3,0,9,11,7,8,23,23,3,3,0,4,0,0,2.25,3.2,3.25,2.19,3.17,2.91,0,0,
QPR,Preston,2,0,0,7,9,2,5,23,14,5,5,2,1,0,0,2.8,3.25,2.3,2.71,3.19,2.28,0,0,
Hull,Norwich,1,0,1,16,14,9,7,10,15,15,3,1,2,0,0,2.1,3.3,3.6,1.98,3.24,3.27,1,1,
Leicester,Derby,1,0,1,12,8,5,4,11,22,6,2,3,3,0,0,3,3.25,2.3,2.83,3.19,2.25,2,2,
Southend,Colchester,1,0,1,17,15,8,10,13,10,5,5,2,0,0,0,2.25,3.3,3.4,2.17,3.22,2.96,1,1,
Birmingham,Burnley,2,0,0,9,7,3,5,11,8,4,5,2,1,0,0,1.5,3.8,7.5,1.42,3.74,6.68,1,1,
Cardiff,Sheffield Weds,2,1,1,18,9,10,4,5,16,6,0,1,3,1,0,1.9,3.4,4,1.82,3.26,3.8,1,1,
Coventry,QPR,2,0,0,11,8,8,3,18,22,7,2,2,3,0,0,1.9,3.3,4,1.87,3.25,3.61,1,1,
Crystal Palace,Preston,0,2,0,19,8,11,6,14,12,11,5,1,2,0,0,2.55,3.25,2.62,2.47,3.12,2.55,0,0,
Ipswich,Barnsley,0,2,0,22,8,15,6,13,18,8,2,2,5,0,0,1.9,3.3,3.7,1.89,3.24,3.52,0,0,
Leeds,Plymouth,2,1,1,7,8,4,5,13,16,4,6,1,1,0,0,1.95,3.4,3.8,1.88,3.3,3.62,0,0,
Luton,Southampton,1,0,2,4,10,3,5,13,14,5,6,3,1,0,0,3.25,3.4,2.2,3.02,3.23,2.1,1,1,
Sunderland,Wolves,0,1,0,16,9,10,6,10,13,5,2,3,1,0,0,1.7,3.5,5,1.67,3.4,4.42,0,0,
West Brom,Stoke,1,0,3,24,5,5,3,12,16,6,2,2,3,0,0,1.75,3.5,4.35,1.73,3.35,4.19,1,1,
Barnsley,Birmingham,2,0,0,11,19,7,6,7,12,4,10,1,0,0,0,3.75,3.4,1.9,3.52,3.27,1.89,0,0,
Burnley,Cardiff,0,1,0,6,8,4,4,22,8,3,5,5,0,0,0,2.5,3.4,2.75,2.43,3.22,2.53,0,0,
Colchester,Leeds,2,0,0,12,8,4,3,12,16,3,5,0,4,0,0,2.1,3.4,3.4,2.02,3.27,3.15,0,0,
Derby,Coventry,2,0,0,10,8,5,6,9,9,9,3,0,1,0,0,1.6,3.6,6,1.55,3.54,5.26,2,2,
Norwich,West Brom,2,0,0,10,25,6,14,10,11,9,12,3,1,0,0,2.75,3.4,2.5,2.59,3.23,2.37,1,1,
Plymouth,Leicester,0,1,0,8,11,6,6,25,14,5,5,0,1,0,0,2.1,3.3,3.55,2.02,3.23,3.21,0,0,
Preston,Southend,1,0,1,12,15,7,8,17,14,8,10,2,3,0,0,1.66,3.7,6,1.54,3.59,5.25,1,1,
QPR,Luton,2,1,1,9,9,7,6,17,13,1,4,1,2,0,0,1.9,3.4,4.33,1.82,3.32,3.76,0,0,
Sheffield Weds,Ipswich,2,0,0,6,8,4,5,7,2,6,12,1,1,0,0,2.1,3.3,3.55,1.95,3.23,3.39,0,0,
Southampton,Sunderland,2,0,0,11,12,7,5,7,11,1,7,0,1,0,0,2.6,3.3,2.62,2.46,3.19,2.54,1,1,
Stoke,Crystal Palace,0,2,1,6,3,6,1,5,3,2,6,1,1,0,0,1.9,3.5,4.33,1.79,3.34,3.85,0,0,
Wolves,Hull,0,2,0,13,11,8,6,17,16,6,4,2,3,0,0,1.72,3.6,4.5,1.66,3.46,4.39,0,0,
West Brom,Sheffield Weds,2,0,0,24,11,10,6,13,7,15,6,3,2,2,0,1.66,3.6,5,1.65,3.46,4.51,1,1,
Birmingham,Southampton,0,1,0,14,13,6,6,12,7,13,4,2,0,0,0,2,3.25,3.5,1.96,3.21,3.38,0,0,
Cardiff,Stoke,1,0,1,15,7,9,3,16,17,7,3,0,2,0,0,2.37,3.4,2.7,2.32,3.22,2.63,2,2,
Coventry,Preston,1,0,2,10,9,4,5,9,9,7,5,4,3,0,0,2.55,3.3,2.6,2.44,3.18,2.53,1,1,
Crystal Palace,Wolves,2,2,2,12,8,5,6,15,9,6,4,1,2,0,1,2.55,3.4,2.5,2.47,3.22,2.48,2,2,
Hull,Colchester,0,1,0,9,17,3,8,11,7,8,13,1,2,0,0,2.5,3.4,2.75,2.37,3.22,2.58,2,2,
Ipswich,Derby,1,0,1,20,5,9,4,8,22,3,2,4,6,1,1,3.2,3.3,2.2,2.91,3.2,2.17,0,0,
Leeds,Burnley,0,1,0,9,6,6,2,12,16,5,7,0,3,0,0,2,3.4,3.8,1.93,3.28,3.46,0,0,
Leicester,Norwich,0,1,0,12,7,6,4,14,11,10,8,1,1,0,0,2.1,3.4,3.35,2.08,3.25,3.04,1,1,
Luton,Plymouth,1,0,2,5,8,2,3,6,14,2,9,2,2,0,0,2.3,3.5,2.85,2.25,3.25,2.72,1,1,
Southend,Barnsley,1,0,2,22,12,11,5,11,16,9,7,1,3,0,0,2,3.4,3.6,1.98,3.24,3.28,1,1,
Sunderland,QPR,2,1,1,13,5,6,5,10,13,7,2,1,3,0,0,1.4,4,8,1.38,3.94,7,0,0,
Burnley,Norwich,0,1,0,13,11,8,5,9,11,5,4,1,1,0,0,2.1,3.25,3.6,2.02,3.2,3.23,0,0,
Leicester,Birmingham,1,0,2,18,5,7,4,16,26,7,3,0,2,0,0,3.4,3.3,2,3.23,3.24,2,1,1,
Derby,Luton,0,1,0,22,11,13,7,16,12,8,6,0,1,0,0,1.35,4.75,9,1.33,4.34,7.7,0,0,
Barnsley,Crystal Palace,0,1,0,12,11,7,3,11,13,2,11,2,2,0,0,1.9,3.4,3.8,1.88,3.3,3.53,0,0,
Colchester,Sunderland,0,1,0,9,13,4,6,10,11,0,6,2,2,0,0,3.35,3.5,2.1,3.08,3.35,2.03,0,0,
Plymouth,Southend,2,1,1,20,6,12,3,11,18,4,5,1,3,0,0,2.1,3.4,3.35,2.04,3.3,3.1,0,0,
Preston,Leicester,2,0,0,7,12,3,7,12,18,6,3,2,3,0,0,1.66,3.6,5.3,1.61,3.47,4.68,1,1,
QPR,Cardiff,0,1,0,6,4,3,2,14,9,7,6,3,3,0,0,2.2,3.4,3.5,2.07,3.24,3.1,0,0,
Sheffield Weds,Coventry,2,1,1,6,8,3,3,12,13,4,6,3,3,0,0,1.7,3.5,5,1.65,3.42,4.5,0,0,
Southampton,Leeds,2,0,0,21,5,9,3,15,18,2,1,3,4,0,1,1.8,3.5,4.25,1.75,3.38,3.96,0,0,
Stoke,Hull,0,1,0,9,12,3,8,18,13,5,6,1,1,0,0,1.72,3.5,4.4,1.68,3.44,4.34,2,2,
Norwich,Ipswich,0,1,0,15,14,4,7,12,15,6,8,1,1,0,0,2.3,3.2,2.9,2.24,3.14,2.84,2,2,
Wolves,Birmingham,2,0,0,21,7,9,5,10,18,2,4,4,4,0,0,2.6,3.25,2.6,2.53,3.16,2.5,1,1,
Burnley,West Brom,1,1,2,11,11,7,5,12,8,4,2,3,2,0,1,3,3.4,2.3,2.87,3.25,2.19,0,0,
Sunderland,Burnley,2,1,1,20,7,11,4,12,19,7,4,2,3,0,0,1.33,4.75,9,1.31,4.46,8.3,0,0,
Barnsley,Leicester,2,0,0,13,5,6,3,17,12,5,2,1,0,0,0,2.25,3,3.25,2.2,2.92,3.13,1,1,
Birmingham,Sheffield Weds,2,0,0,8,13,3,1,13,12,5,7,3,2,1,0,1.66,3.6,4.8,1.61,3.54,4.55,0,0,
Cardiff,Hull,2,0,0,11,8,6,6,12,16,8,5,0,2,0,0,2.3,3.5,2.85,2.25,3.3,2.69,1,1,
Coventry,West Brom,1,0,1,4,15,2,7,15,9,3,7,1,1,1,1,3.25,3.4,2.1,3.11,3.27,2.04,1,1,
Leeds,Ipswich,0,1,0,12,14,7,11,9,12,8,8,3,3,0,0,1.7,3.7,5,1.63,3.56,4.56,2,2,
Norwich,Southampton,1,0,1,8,13,3,6,11,14,4,3,0,1,0,0,3.1,3.5,2.2,2.91,3.31,2.12,1,1,
Plymouth,Preston,2,0,0,16,6,10,2,9,18,9,5,1,2,0,0,3.1,3.4,2.25,2.89,3.23,2.17,0,0,
Southend,Luton,1,0,2,24,9,11,7,10,20,8,2,4,4,0,0,1.66,3.6,5,1.61,3.52,4.62,1,1,
Stoke,Colchester,1,0,1,10,11,8,3,15,10,5,6,5,3,0,1,2,3.6,3.4,1.97,3.36,3.21,0,0,
Wolves,QPR,2,0,0,18,7,8,4,11,13,4,2,1,2,0,0,1.53,4,6.5,1.46,3.86,5.85,0,0,
Crystal Palace,Derby,0,1,0,16,11,7,5,9,11,3,6,0,1,0,0,3.6,3.5,2.05,3.42,3.36,1.92,0,0,
Burnley,Coventry,1,0,1,8,11,2,6,15,15,7,2,2,3,0,0,1.9,3.4,4.2,1.85,3.27,3.71,1,1,
Colchester,Crystal Palace,1,0,1,7,13,4,6,2,8,6,8,0,1,0,0,1.9,3.4,4.1,1.83,3.33,3.68,1,1,
Derby,Leeds,0,1,0,15,9,5,4,15,13,9,6,2,3,0,1,1.84,3.5,4.33,1.73,3.4,4.09,0,0,
Hull,Plymouth,1,0,1,10,9,6,2,11,15,3,2,2,1,0,0,2.25,3.25,3.3,2.13,3.15,3.04,1,1,
Ipswich,Cardiff,2,1,1,18,21,11,9,10,12,4,13,0,0,0,0,2,3.3,3.6,1.92,3.25,3.44,0,0,
Leicester,Wolves,1,1,2,13,18,5,7,13,13,6,2,6,3,1,0,3.75,3.4,2,3.53,3.31,1.88,1,1,
Luton,Sunderland,1,0,2,4,13,1,7,9,20,3,5,4,3,0,0,6,3.75,1.6,5.42,3.58,1.54,1,1,
Preston,Birmingham,2,0,0,22,13,12,5,16,13,15,1,2,2,0,0,2.37,3.5,2.75,2.3,3.32,2.65,0,0,
QPR,Stoke,0,1,0,6,12,3,4,24,11,0,9,7,2,1,0,3.5,3.6,2.05,3.3,3.38,1.92,2,2,
Sheffield Weds,Norwich,0,2,0,9,12,5,5,5,7,4,6,1,3,0,0,1.9,3.4,4,1.85,3.26,3.69,0,0,
Southampton,Southend,2,1,1,22,7,12,4,12,13,9,2,0,2,0,0,1.25,5.5,11,1.22,5.3,9.34,0,0,
West Brom,Barnsley,0,4,0,27,9,18,6,11,19,5,5,1,3,0,0,1.35,5,9,1.31,4.51,8.05,0,0,
Barnsley,Coventry,2,1,1,7,14,3,12,10,21,5,6,0,2,0,0,2.5,3.25,2.65,2.4,3.19,2.59,1,1,
Bristol City,QPR,2,1,1,17,13,8,5,12,18,4,7,0,3,0,0,2.1,3.25,3.2,2.1,3.19,3.08,2,2,
Burnley,West Brom,1,0,1,11,13,4,10,11,12,8,11,1,1,0,0,2.65,3.25,2.6,2.54,3.2,2.45,0,0,
Cardiff,Stoke,1,0,1,13,7,10,3,10,13,12,7,3,3,0,0,2.15,3.25,3.25,2.09,3.19,3.11,1,1,
Charlton,Scunthorpe,2,0,0,13,6,4,3,10,15,7,7,1,1,0,0,1.5,4,7,1.47,3.76,5.91,2,2,
Hull,Plymouth,1,1,2,11,12,7,7,20,14,0,1,3,1,0,0,2.25,3.2,3.1,2.19,3.18,2.92,1,1,
Ipswich,Sheffield Weds,0,3,0,12,10,8,3,8,8,3,3,0,2,0,0,2.25,3.25,3,2.19,3.19,2.9,0,0,
Leicester,Blackpool,2,0,0,21,14,9,6,10,6,9,3,0,0,0,0,1.75,3.4,4.5,1.72,3.38,4.18,1,1,
Preston,Norwich,2,0,0,12,8,6,3,16,14,15,0,2,2,0,0,2.1,3.25,3.6,2.03,3.21,3.25,2,2,
Sheffield United,Colchester,2,0,0,13,5,10,3,18,7,9,6,1,0,0,0,1.6,3.75,6.5,1.55,3.55,5.49,2,2,
Southampton,Crystal Palace,1,1,2,16,9,9,7,11,20,8,6,3,0,0,0,1.9,3.3,3.75,1.89,3.25,3.56,1,1,
Wolves,Watford,0,1,0,10,10,5,4,14,11,3,10,0,1,0,0,2.25,3.2,3.25,2.21,3.18,2.94,1,1,
Blackpool,Bristol City,2,0,0,19,14,11,7,11,6,12,8,1,0,0,0,2.25,3.25,3,2.19,3.2,2.88,2,2,
Colchester,Barnsley,2,1,1,9,6,5,2,11,13,9,3,2,2,1,1,1.85,3.3,4,1.82,3.25,3.86,2,2,
Coventry,Hull,2,0,0,12,10,6,4,14,17,7,2,0,2,0,1,1.75,3.5,4.5,1.73,3.35,4.19,2,2,
Crystal Palace,Leicester,0,1,0,5,8,4,4,9,14,6,5,0,2,0,0,2,3.3,3.95,1.93,3.24,3.5,2,2,
Norwich,Southampton,1,0,1,9,13,5,8,13,14,3,4,3,1,0,0,2.3,3.25,2.9,2.25,3.2,2.78,0,0,
Plymouth,Ipswich,1,0,1,11,5,5,4,16,20,9,3,0,4,0,1,2.25,3.25,3,2.19,3.2,2.88,2,2,
QPR,Cardiff,1,0,1,10,13,7,4,19,14,2,8,2,2,0,0,2.3,3.25,2.9,2.23,3.2,2.81,1,1,
Scunthorpe,Burnley,2,0,0,11,13,4,4,15,16,3,13,0,2,0,0,2.4,3.25,2.8,2.36,3.19,2.63,0,0,
Stoke,Charlton,2,0,0,11,10,4,5,19,17,10,3,2,1,0,0,2.5,3.25,2.75,2.39,3.19,2.64,0,0,
Watford,Sheffield United,2,0,0,7,3,1,2,14,10,6,7,1,0,0,0,2.2,3.25,2.9,2.2,3.2,2.85,0,0,
West Brom,Preston,2,0,0,9,7,5,3,13,14,4,3,0,2,0,0,1.85,3.5,4.55,1.78,3.33,4,0,0,
Sheffield Weds,Wolves,2,1,1,14,4,5,3,5,12,7,5,1,3,0,0,2.5,3.3,2.6,2.4,3.21,2.55,1,1,
Barnsley,Plymouth,0,2,0,10,10,6,6,10,14,2,6,2,2,0,0,2.35,3.25,2.75,2.33,3.2,2.66,0,0,
Bristol City,Scunthorpe,0,2,1,9,11,3,8,11,14,7,2,3,2,0,0,2,3.25,3.6,1.95,3.24,3.39,0,0,
Cardiff,Coventry,1,0,1,13,6,7,4,12,20,3,5,0,0,0,0,2.05,3.25,3.4,2.01,3.21,3.25,1,1,
Charlton,Sheffield Weds,1,0,2,26,10,12,5,10,17,5,5,1,2,0,0,1.66,3.5,5,1.63,3.43,4.73,0,0,
Hull,Norwich,2,0,0,15,11,5,4,11,8,6,4,2,0,0,0,2.45,3.25,2.75,2.36,3.2,2.63,0,0,
Leicester,Watford,0,1,0,15,10,11,4,17,18,1,5,6,5,0,0,2.5,3.3,2.65,2.42,3.2,2.56,0,0,
Preston,Colchester,1,0,1,15,7,7,3,18,9,9,6,3,1,0,0,1.9,3.4,4.1,1.85,3.28,3.71,1,1,
Sheffield United,West Brom,0,1,0,7,10,3,5,19,8,10,2,2,0,0,0,2.2,3.2,3.25,2.18,3.18,3.01,0,0,
Southampton,Stoke,2,1,1,21,7,10,5,12,20,15,5,2,4,0,0,2.2,3.2,3.2,2.13,3.18,3.05,0,0,
Wolves,Blackpool,2,0,0,11,9,6,5,12,17,3,10,2,2,0,0,1.65,3.5,5.5,1.62,3.43,4.86,0,0,
Ipswich,Crystal Palace,2,0,0,11,11,6,4,10,13,2,5,0,2,0,0,2.3,3.3,3.3,2.18,3.23,2.98,0,0,
Colchester,Burnley,1,1,2,7,7,4,4,5,12,9,5,0,4,0,0,2.1,3.25,3.2,2.06,3.21,3.13,1,1,
Coventry,Preston,1,0,1,17,4,7,2,12,14,5,1,1,1,0,0,1.85,3.3,4.3,1.8,3.25,3.94,0,0,
Crystal Palace,Charlton,2,0,0,9,14,3,6,10,5,6,3,1,1,0,0,2.55,3.25,2.65,2.44,3.19,2.55,1,1,
Norwich,Cardiff,0,1,0,14,12,7,8,11,13,8,8,0,1,0,0,2.1,3.25,3.4,2.08,3.19,2.88,1,1,
Plymouth,Leicester,2,0,0,11,8,6,2,14,18,7,4,0,2,0,0,2.45,3.25,2.75,2.34,3.19,2.65,2,2,
QPR,Southampton,1,0,2,9,19,2,12,6,12,2,7,2,0,0,0,2.6,3.2,2.62,2.48,3.18,2.51,1,1,
Scunthorpe,Sheffield United,0,1,0,14,15,5,9,16,18,5,2,1,3,1,1,2.8,3.25,2.35,2.75,3.2,2.28,0,0,
Sheffield Weds,Bristol City,1,0,1,10,6,4,1,13,10,13,4,1,0,0,0,2.25,3.2,3.1,2.19,3.18,2.98,1,1,
Stoke,Wolves,2,0,0,7,11,5,5,13,15,4,13,1,1,0,0,2.5,3.25,2.75,2.4,3.15,2.61,2,2,
Watford,Ipswich,0,1,0,15,5,6,0,11,10,1,6,1,1,0,0,1.85,3.35,4.15,1.8,3.26,3.9,0,0,
West Brom,Barnsley,0,2,0,15,8,6,2,12,15,8,1,1,3,0,0,1.5,3.7,7,1.49,3.63,6,0,0,
Blackpool,Hull,2,0,0,17,16,11,9,13,21,9,6,3,1,0,0,2.25,3.25,3.3,2.14,3.2,3.08,0,0,
